id,name,disc_number,duraction_ms,explicit,track_number,audio_features.danceability,audio_features.energy,audio_features.key,audio_features.loudness,audio_features.mode,audio_features.speechiness,audio_features.acousticness,audio_features.instrumentalness,audio_features.liveness,audio_features.valence,audio_features.tempo,audio_features.time Signature,audio_features.id,artist.id,artist.name,artist.popularity,album.id,album.name,album.release_date,album.total_tracks,albums.id,albums.name,albums.release_date
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1,212600,False,1,0.757,0.61,7,-4.84,1,0.0327,0.00942,3.66e-05,0.367,0.685,116.998,4,4WUepByoeqcedHoYhSNHRt,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1,231833,False,2,0.733,0.733,0,-5.376,1,0.067,0.0885,0.0,0.168,0.701,96.057,4,0108kcWLnn2HlH2kedi1gn,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1,231000,False,3,0.511,0.822,11,-4.785,0,0.0397,0.000421,0.0197,0.0899,0.305,94.868,4,3Vpk1hfMAQme8VJ0SNRSkd,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1,235800,False,4,0.545,0.885,0,-5.968,1,0.0447,0.000537,5.59e-05,0.385,0.206,92.021,4,1OcSfkeCg9hRC2sFKB4IMJ,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1,193289,False,5,0.588,0.721,0,-5.579,1,0.0317,0.000656,0.0,0.131,0.52,96.997,4,2k0ZEeAqzvYMcx9Qt5aClQ,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1,219209,False,6,0.636,0.808,7,-5.693,1,0.0729,0.0121,2.18e-05,0.359,0.917,160.058,4,50yNTF0Od55qnHLxYsA5Pw,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1,207650,False,7,0.67,0.858,0,-6.528,1,0.0439,0.00354,1.25e-05,0.0687,0.539,118.009,4,3FxJDucHWdw6caWTKO5b23,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1,211103,False,8,0.618,0.683,7,-6.438,1,0.194,0.0362,0.0,0.305,0.363,169.971,4,7oZONwFiFIErZcXAtTu7FY,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1,220433,False,9,0.589,0.674,8,-7.48,1,0.0656,0.0436,7.18e-05,0.112,0.514,139.985,4,27exgla7YBw9DUNNcTIpjy,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1,247533,False,10,0.758,0.691,5,-5.798,1,0.0515,0.00196,1.09e-05,0.0939,0.538,119.997,4,733OhaXQIHY7BKtY3vnSkn,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor’s Version),1,250100,False,11,0.471,0.509,1,-8.796,0,0.0355,0.316,0.0,0.0673,0.0567,144.071,4,4WBEj8TeGtRPNJdOmT3WJW,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1,195700,False,12,0.582,0.788,0,-5.358,1,0.0445,0.0999,0.0,0.115,0.652,160.027,4,1ULabO0PEsdJekqVH6G10G,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),1,271000,False,13,0.772,0.391,4,-8.892,1,0.0293,0.25,2.92e-05,0.0981,0.258,103.955,4,0lKUBmEyQfzsQHozyeXzES,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
6HRsJu8vcnzYDN4t0570FY,Wonderland (Taylor's Version),1,245566,False,14,0.464,0.705,3,-5.97,1,0.0434,0.00976,2.61e-05,0.209,0.385,183.892,4,6HRsJu8vcnzYDN4t0570FY,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
0TyGh27YQ5LknmiDhCzJiT,You Are In Love (Taylor's Version),1,267389,False,15,0.363,0.498,9,-9.473,1,0.0755,0.61,3.91e-06,0.112,0.477,84.68,4,0TyGh27YQ5LknmiDhCzJiT,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
5M787RexsAiVYjQusM98CV,New Romantics (Taylor's Version),1,230177,False,16,0.649,0.846,5,-5.958,1,0.0602,0.00675,4.63e-06,0.0824,0.698,121.978,4,5M787RexsAiVYjQusM98CV,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27
